_RAJ2000,_DEJ2000,HIP,Vmag,RAICRS,DEICRS,x_coord,y_coord
000.6670305259,+51.4724006514,   213, 7.70,0.66686344,51.47241278,-1.1688067799338795,1.4800932432765348
000.6691724877,+28.5422212942,   214, 8.17,0.66917246,28.54222144,-1.5955874162747339,0.8768918436020269
000.6741995959,+82.9732020681,   217, 7.29,0.67441616,82.97320953,-0.24376555410953132,1.9913552678240445
000.6745287957,+75.0362111144,   215, 9.26,0.67449039,75.03619342,-0.506262258671417,1.9078507474042175
000.6768830916,+42.9206486607,   216, 7.94,0.67692229,42.92069156,-1.3553829425833022,1.2715949056098919
000.6796275154,-57.6336700891,   218, 8.42,0.67974974,-57.63363086,-0.9873660816006717,-1.5662507396210557
000.6903073145,+06.0344004061,   219, 8.56,0.69022925,6.03445242,-1.7732209242368675,0.19233766067081545
000.6917807134,+35.8154671668,   220, 7.52,0.69173956,35.81547283,-1.485579533735373,1.082274698896201
000.6938996833,+80.2822831190,   221, 7.74,0.69321513,80.28224146,-0.3344632609220842,1.9668335565174708
000.6944709411,-40.9832293562,   222, 8.85,0.69448089,-40.9831797,-1.363891319348133,-1.1900685548422192
000.6962592526,+03.8604155428,   224, 9.01,0.69625192,3.86040514,-1.7772069307039713,0.1243708713059103
000.6965625767,+02.1301546604,   223, 7.17,0.69641117,2.1303764,-1.778879496288009,0.07026239317948534
000.7001174828,-15.0405427036,   225, 9.04,0.7000638,-15.04053128,-1.7170754814328113,-0.4609727267144308
000.7004577114,-24.9452981855,   226,10.30,0.70031218,-24.94525463,-1.6179843585882114,-0.754340052744811
000.7048677193,+80.2865786405,   227, 9.86,0.70416774,80.28651236,-0.33430241957747414,1.9668138589686128
000.7102664306,+28.2519049355,   228, 7.64,0.71015217,28.25189113,-1.598393271960318,0.8679901583199695
000.7140019493,+47.2522682841,   229, 8.27,0.71393463,47.25228068,-1.264132528428063,1.3794711899337981
000.7158843935,+30.3365420256,   230, 8.44,0.71569526,30.3365158,-1.5697315689356839,0.92805109114516
000.7237653113,-58.7813981098,   231, 9.58,0.72341351,-58.78139077,-0.9571246419777688,-1.5879672574713504
000.7301181547,-30.1497729001,   232, 8.43,0.73006132,-30.14977973,-1.547187297020373,-0.9015811623772149
000.7319230747,+71.3585163337,   233, 8.49,0.73197615,71.35854324,-0.6218679495658266,1.8572262345353425
000.7336089822,+70.2380003911,   234, 9.64,0.73358145,70.23800778,-0.6563267559565005,1.8405800727738753
000.7364535768,+71.3680304001,   235, 9.17,0.73646864,71.36804423,-0.6215531339508551,1.857320185078723
000.7378638258,-00.8938739289,   236, 8.09,0.73781657,-0.89382979,-1.777026660433434,-0.024248919894424042
000.7393019630,-39.5274124904,   237, 9.00,0.7391122,-39.52732256,-1.3906806338009985,-1.1524424804562965
000.7395338130,-20.0458821274,   238, 6.25,0.7392741,-20.04607402,-1.6716001921213233,-0.6106382348271414
000.7431862714,+03.3819321157,   239, 8.56,0.743174,3.38193739,-1.7763521014903259,0.1093534475129232
000.7437298904,+09.7952309444,   240,10.81,0.74376859,9.79522025,-1.7589235829668115,0.30936671701399
000.7520194948,+09.1382795357,   241, 8.76,0.75196696,9.13829706,-1.7613748048574416,0.28890896072976324
000.7522305809,-34.7439394736,   242, 7.76,0.75216595,-34.74405055,-1.474874979621741,-1.0268705164166978
000.7533493924,-60.6919007693,   243, 7.82,0.75337695,-60.69189462,-0.9062664892062021,-1.6235719760129697
000.7588705542,+39.9951444964,   244, 7.90,0.75886478,39.99515242,-1.4102362535820112,1.1941407983204522
000.7637345699,-07.8155170198,   245, 8.52,0.76358207,-7.81552594,-1.7583308164368416,-0.23936174762216975
000.7644738931,+56.7332980149,   246, 9.73,0.76368704,56.733184,-1.0375621616346387,1.5945218946000828
000.7654353916,+08.2612926500,   247, 9.19,0.76552823,8.2614134,-1.7642369297778464,0.26157071814823185
000.7656631178,+08.2706833110,   248, 8.10,0.76575139,8.27080462,-1.7641969223142184,0.26186232136415993
000.7742245439,+31.8700829878,   249, 8.75,0.77419621,31.87010321,-1.5460338257176227,0.9710176461426474
000.7742851747,+52.4651285344,   250, 8.14,0.77431725,52.46516859,-1.1436322032001962,1.5011438632569163
000.7753306246,-25.2611141104,   251, 8.65,0.7754055,-25.26104885,-1.6121262840904915,-0.7625987682436172
000.7796367491,+29.4859788942,   252,10.30,0.77959051,29.48598254,-1.5800142002565791,0.9028510530794375
