deg	deg	HIP	mag	mas	mag	sptype
051.8174774764	+62.0253613312	 16091	 9.88	  -0.10	 0.091	B8
051.8198438117	-61.2591464496	 16092	 7.89	   9.13	 0.461	F5V
051.8242655819	-46.9671766929	 16093	 9.16	   4.09	 0.986	K0III
051.8278241469	+12.7352889136	 16095	 6.29	   9.58	-0.025	A0Vs
051.8280333831	-36.2618238710	 16094	 9.65	  25.24	 0.970	K5V
051.8378053921	+09.2561449554	 16096	 9.82	   3.83	 0.551	F5
051.8405537148	-41.2208510733	 16097	 9.26	  11.68	 0.662	G3V
051.8469768668	-64.6491854115	 16098	 8.49	   1.75	 1.430	K4III
051.8497345968	-64.3309335462	 16099	 9.02	   2.78	 1.079	K0III
051.8521049095	+56.8867310200	 16100	 9.52	   2.99	 0.338	B5
051.8557484755	-51.7969523442	 16101	 9.17	   7.24	 0.488	F5V
051.8588016103	+38.0423321661	 16102	 7.69	   9.36	 0.539	F8
051.8601353992	+59.1955949125	 16103	 7.90	   4.47	 0.109	B9
051.8621071472	+38.5779064226	 16104	 8.84	   2.15	 1.181	K0
051.8633830447	-57.1383355382	 16105	 9.02	   2.65	 1.084	K0/K1III
051.8639136055	-27.7468156990	 16106	 8.60	   3.32	 1.079	K0III/IV
051.8724563521	+34.8066232857	 16107	 8.18	  14.04	 0.623	G0
051.8831377238	+05.8704367439	 16108	 7.19	   3.89	 1.266	K0
051.8834624331	+19.1871328266	 16109	 9.17	   5.64	 0.624	G0
051.8846850615	-16.5651548773	 16110	10.15	   9.61	 0.537	G0V
051.8885150806	-15.2104404365	 16111	 9.23	   5.50	 0.124	A0V
051.8892535681	-35.6813234828	 16112	 5.71	   7.02	 1.284	K2III
051.8954922756	-39.8805670740	 16113	 7.10	   2.09	 1.507	K4III
051.9001568203	-54.8656996043	 16114	10.77	  15.95	 0.908	
051.9049192221	-73.4395653607	 16115	 8.32	  15.45	 0.679	G3V
051.9066462034	+07.7504714061	 16116	 7.60	   8.07	 0.412	F0
051.9087801355	+16.6629851021	 16117	 8.08	   2.74	 0.257	A2
051.9123738159	+49.5999173109	 16118	 6.93	   5.83	-0.007	B9V
051.9142206283	+22.8978079144	 16119	10.97	   2.64	 0.732	
051.9160949636	+08.7652019467	 16120	 7.80	   4.22	 0.321	A5
051.9160641589	-39.8333260533	 16121	 7.72	   4.97	 0.927	G8III
051.9170892742	+04.9893033200	 16122	10.60	   8.41	 0.577	F8
051.9192615729	-08.4310385675	 16123	 9.74	   2.11	 1.470	K5V
051.9223479358	-14.3665802522	 16124	 7.22	   7.75	 0.050	A0V
051.9229751637	-32.2417446214	 16125	 9.09	   0.50	 1.063	K0III
051.9266341639	+44.1767998349	 16126	 9.15	   0.75	 2.459	C0e
051.9273733291	-27.4118603958	 16127	 9.14	  10.56	 0.592	G0V
051.9324306457	-43.8558862753	 16128	 6.73	  15.15	 0.501	G0IV
051.9382147430	+83.5283165387	 16129	 7.31	   1.90	 1.510	K0
051.9431713130	-21.3974143004	 16130	 9.88	  -0.89	-0.104	B7V
051.9486710567	-84.7155759833	 16131	 8.05	   8.90	 0.894	K0IV
051.9566201964	+24.1827528890	 16132	 7.85	   3.73	 1.090	G5
051.9634151359	+20.9251595343	 16133	 7.85	   3.90	 1.129	K0
051.9683590479	-19.8044824717	 16134	 8.39	  79.26	 1.337	K5V
051.9717679542	+46.2404681379	 16135	10.17	   2.71	 0.465	
051.9804355915	+18.8823330656	 16136	 8.46	  14.32	 0.568	G0
051.9824157099	+47.7359317796	 16137	 7.27	   6.07	 0.038	B8.5V
051.9900121839	+55.7273551728	 16138	 9.27	   0.76	 0.530	A0
051.9918713158	-08.5385026817	 16139	 9.66	   2.09	 0.703	G5
051.9937749040	-77.6132550752	 16140	 7.41	   4.30	 1.046	K0III
051.9944639616	-45.5611615525	 16141	 7.89	   5.89	 1.004	K0III
052.0039467418	-11.2865996435	 16142	 5.74	   9.58	 1.102	K2III
052.0058270811	+20.4642611235	 16143	 6.72	   4.96	 0.471	A3+...
052.0093870761	+41.6736703110	 16145	 9.12	   4.27	 0.083	A0
052.0122128305	+44.3901526170	 16146	 8.11	   7.31	 0.497	G0
052.0127902357	+49.0628662682	 16147	 4.99	   5.72	-0.091	B5V
052.0133666481	+78.4788020006	 16148	 7.76	  11.69	 0.533	F5
052.0298731271	+50.9403504332	 16149	 8.15	  -0.19	 1.680	K2III
052.0351917579	+17.1627022761	 16150	11.76	  13.38	      	
052.0365489221	-02.4796509387	 16151	 8.07	   7.38	 0.490	F5
052.0381182197	+17.1675252343	 16152	 8.33	   6.16	 0.384	F2
052.0396633187	-12.7539985228	 16153	 7.39	   2.77	 1.254	K1/K2III
052.0433719810	+32.8115027411	 16154	 7.52	   4.64	 0.992	K0
052.0456011879	+04.1520903140	 16155	 8.69	  10.17	 0.533	F8
052.0480187361	-35.8534261165	 16156	 6.49	   9.01	 0.126	A1V
052.0518877699	-29.4277327018	 16157	 9.16	   3.00	 1.202	K2III:
052.0543095549	+07.3022201593	 16158	 8.00	  13.46	 0.611	G0
052.0560608700	-13.3949212285	 16159	10.50	   7.18	 0.701	
052.0577070885	-41.0306696109	 16160	 9.29	  14.91	 0.907	G8IV/V
052.0617040740	+31.9140773481	 16161	 9.08	   6.34	 0.406	A2
052.0668686804	-73.5496905250	 16162	 8.16	   4.21	 0.191	A4IV/V
052.0719527052	-57.8822294839	 16163	 6.69	   3.38	 1.580	K5III
052.0724842767	+29.8686461585	 16164	 9.65	   3.13	 0.283	A0
052.0759146737	+44.3772364725	 16165	 6.52	   2.96	 1.645	K0
